Sheet count: 1
Sheet names: ['Sheet1']

=== Sheet: Sheet1 ===
  Rows: 391, Cols: 23
  Merged cells: ['P163:Q163', 'L91:M91', 'A166:A169', 'C144:C146', 'N91:O91', 'A286:I286', 'J19:K19', 'L19:M19', 'A30:A33', 'H55:I55', 'D90:Q90', 'A370:A373', 'A281:A284', 'A330:A333', 'A388:A391', 'A366:A369', 'A269:I269', 'A358:B360', 'D108:W108', 'T127:U127', 'V127:W127', 'D377:E377', 'A98:A101', 'C18:C20', 'C322:C324', 'P359:Q359', 'A76:A79', 'A90:B92', 'A376:B378', 'A8:A11', 'L109:M109', 'A126:B128', 'D36:S36', 'H37:I37', 'A361:B361', 'D127:E127', 'A22:A25', 'A308:A311', 'A143:U143', 'A102:A105', 'J305:K305', 'F341:G341', 'D73:E73', 'A111:B111', 'V109:W109', 'A228:F228', 'T145:U145', 'J163:K163', 'L145:M145', 'F359:G359', 'N145:O145', 'C36:C38', 'A39:B39', 'H91:I91', 'A334:A337', 'A94:A97', 'J73:K73', 'D19:E19', 'A304:B306', 'D305:E305', 'F19:G19', 'A362:A365', 'R19:S19', 'A36:B38', 'D359:E359', 'H341:I341', 'A174:A177', 'A12:A15', 'C376:C378', 'R359:S359', 'A379:B379', 'A162:B164', 'L163:M163', 'A316:A319', 'A120:A123', 'C54:C56', 'F109:G109', 'A272:B272', 'D126:W126', 'H109:I109', 'A298:A301', 'B180:B182', 'A129:B129', 'R109:S109', 'A161:U161', 'D37:E37', 'T109:U109', 'A307:B307', 'A380:A383', 'H19:I19', 'P377:Q377', 'C340:C342', 'P37:Q37', 'A156:A159', 'R377:S377', 'D144:U144', 'D323:E323', 'F323:G323', 'A165:B165', 'A322:B324', 'C90:C92', 'A93:B93', 'A130:A133', 'P127:Q127', 'H145:I145', 'R127:S127', 'J145:K145', 'A344:A347', 'A58:A61', 'N55:O55', 'A40:A43', 'P55:Q55', 'D54:Q54', 'F73:G73', 'L359:M359', 'A325:B325', 'C72:C74', 'A352:A355', 'C358:C360', 'A343:B343', 'D322:G322', 'A179:F179', 'A84:A87', 'F305:G305', 'A66:A69', 'A229:A231', 'D341:E341', 'C229:F229', 'H73:I73', 'N341:O341', 'A357:S357', 'P341:Q341', 'A75:B75', 'A108:B110', 'D163:E163', 'C108:C110', 'A80:A83', 'F163:G163', 'A273:A276', 'H163:I163', 'A3:B3', 'A326:A329', 'D340:Q340', 'A384:A387', 'D91:E91', 'R163:S163', 'A1:D1', 'F91:G91', 'A21:B21', 'T163:U163', 'P91:Q91', 'A57:B57', 'A26:A29', 'N19:O19', 'A134:A137', 'P19:Q19', 'J91:K91', 'A144:B146', 'B229:B231', 'A4:A7', 'A62:A65', 'A44:A47', 'C162:C164', 'D55:E55', 'A147:B147', 'A53:Q53', 'A72:B74', 'A375:S375', 'N359:O359', 'A290:A293', 'F377:G377', 'H377:I377', 'A48:A51', 'D109:E109', 'A170:A173', 'A321:G321', 'A148:A151', 'N109:O109', 'D18:S18', 'P109:Q109', 'A17:S17', 'J37:K37', 'A138:A141', 'L377:M377', 'L37:M37', 'A35:S35', 'F127:G127', 'N37:O37', 'N377:O377', 'A107:W107', 'H127:I127', 'J127:K127', 'A339:Q339', 'D358:S358', 'F55:G55', 'D72:O72', 'A180:A182', 'D162:U162', 'A340:B342', 'A54:B56', 'A71:O71', 'R37:S37', 'L127:M127', 'D145:E145', 'A270:B271', 'N127:O127', 'F145:G145', 'A277:A280', 'J55:K55', 'H359:I359', 'P145:Q145', 'L55:M55', 'C304:C306', 'R145:S145', 'A89:Q89', 'J359:K359', 'A2:B2', 'L73:M73', 'C126:C128', 'N73:O73', 'H305:I305', 'A18:B20', 'A116:A119', 'A294:A297', 'D304:K304', 'J109:K109', 'A303:K303', 'A112:A115', 'A312:A315', 'F37:G37', 'C180:F180', 'A348:A351', 'J341:K341', 'L341:M341', 'A152:A155', 'A287:B288', 'J377:K377', 'A125:W125', 'A289:B289', 'N163:O163', 'D376:S376']
  R1: ['응답자 일반현황', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R335: ['', '자연과학계열', '165.0', '50.0', '0.30303030303030304', '115.0', '0.696969696969697', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R336: ['', '공학계열', '190.0', '59.0', '0.3105263157894737', '131.0', '0.6894736842105263', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R337: ['', '예체능계열', '27.0', '4.0', '0.14814814814814814', '23.0', '0.8518518518518519', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R338: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R339: ['타지역 취업에 영향을 미친 정주환경 요인(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R340: ['', '', '구 분', '타지역 취업에 영향을 미친 정주환경 요인(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R341: ['', '', '', '높은 주거비용 및 주택 부족', '', '대중교통 불편', '', '여가/문화생활 다양성 부족', '', '타지역 접근석 불편(KTX, 공항 등)', '', '공업도시 이미지로 인한 환경 우려', '', '청년 커뮤니티 및 네트워킹 기회 부족', '', '기타', '', '', '', '', '', '', '']
  R342: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '']
  R343: ['전 체', '', '159.0', '33.0', '0.20754716981132076', '103.0', '0.6477987421383647', '88.0', '0.5534591194968553', '57.0', '0.3584905660377358', '13.0', '0.08176100628930817', '27.0', '0.169811320754717', '3.0', '0.018867924528301886', '', '', '', '', '', '']
  R344: ['소속 대학', '울산대학교', '97.0', '21.0', '0.21649484536082475', '66.0', '0.6804123711340206', '54.0', '0.5567010309278351', '30.0', '0.30927835051546393', '7.0', '0.07216494845360824', '17.0', '0.17525773195876287', '2.0', '0.020618556701030924', '', '', '', '', '', '']
  R345: ['', '울산과학대학교', '34.0', '6.0', '0.17647058823529413', '15.0', '0.4411764705882353', '24.0', '0.7058823529411765', '15.0', '0.4411764705882353', '3.0', '0.08823529411764706', '6.0', '0.17647058823529413', '', '', '', '', '', '', '', '']
  R346: ['', '춘해보건대학교', '26.0', '6.0', '0.23076923076923075', '20.0', '0.7692307692307694', '10.0', '0.3846153846153847', '10.0', '0.3846153846153847', '3.0', '0.11538461538461538', '4.0', '0.15384615384615385', '1.0', '0.038461538461538464', '', '', '', '', '', '']
  R347: ['', '울산과학기술원', '2.0', '', '', '2.0', '1.0', '', '', '2.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '']
  R348: ['학년', '1학년', '33.0', '7.0', '0.2121212121212121', '21.0', '0.6363636363636364', '13.0', '0.3939393939393939', '14.0', '0.4242424242424242', '3.0', '0.09090909090909091', '4.0', '0.12121212121212122', '1.0', '0.030303030303030304', '', '', '', '', '', '']
  R349: ['', '2학년', '44.0', '6.0', '0.13636363636363635', '30.0', '0.6818181818181818', '26.0', '0.5909090909090909', '16.0', '0.36363636363636365', '4.0', '0.09090909090909091', '8.0', '0.18181818181818182', '1.0', '0.022727272727272728', '', '', '', '', '', '']
  R350: ['', '3학년', '52.0', '12.0', '0.23076923076923075', '32.0', '0.6153846153846154', '29.0', '0.5576923076923077', '18.0', '0.34615384615384615', '5.0', '0.09615384615384617', '9.0', '0.17307692307692307', '', '', '', '', '', '', '', '']
  R351: ['', '4학년 이상', '30.0', '8.0', '0.26666666666666666', '20.0', '0.6666666666666665', '20.0', '0.6666666666666665', '9.0', '0.3', '1.0', '0.03333333333333333', '6.0', '0.2', '1.0', '0.03333333333333333', '', '', '', '', '', '']
  R352: ['전공', '인문사회계열', '35.0', '11.0', '0.3142857142857143', '19.0', '0.5428571428571428', '18.0', '0.5142857142857142', '11.0', '0.3142857142857143', '2.0', '0.05714285714285714', '10.0', '0.2857142857142857', '2.0', '0.05714285714285714', '', '', '', '', '', '']
  R353: ['', '자연과학계열', '55.0', '11.0', '0.2', '39.0', '0.7090909090909091', '30.0', '0.5454545454545454', '25.0', '0.45454545454545453', '4.0', '0.07272727272727272', '7.0', '0.12727272727272726', '1.0', '0.01818181818181818', '', '', '', '', '', '']
  R354: ['', '공학계열', '65.0', '10.0', '0.15384615384615385', '41.0', '0.6307692307692307', '38.0', '0.5846153846153846', '21.0', '0.32307692307692304', '7.0', '0.1076923076923077', '9.0', '0.13846153846153847', '', '', '', '', '', '', '', '']
  R355: ['', '예체능계열', '4.0', '1.0', '0.25', '4.0', '1.0', '2.0', '0.5', '', '', '', '', '1.0', '0.25', '', '', '', '', '', '', '', '']
  R356: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R357: ['울산 지역 청년 정착 지원을 위한 정책(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R358: ['', '', '구 분', '울산 지역 청년 정착 지원을 위한 정책(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R359: ['', '', '', '청년 주택 공급/주거비 지원', '', '교통비 지원', '', '문화/여가 활동 지원', '', '청년 공간/커뮤니티 조성', '', '정착 지원금 제공', '', '생활 인프라 개선', '', '육아/보육 지원', '', '기타', '', '', '', '', '']
  R360: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '']
  R361: ['전 체', '', '1000.0', '501.0', '0.501', '161.0', '0.161', '97.0', '0.09700000000000002', '31.0', '0.031', '91.0', '0.091', '104.0', '0.10400000000000001', '6.0', '0.006', '9.0', '0.009', '', '', '', '']
  R362: ['소속 대학', '울산대학교', '521.0', '262.0', '0.5028790786948176', '73.0', '0.1401151631477927', '60.0', '0.11516314779270634', '17.0', '0.03262955854126679', '36.0', '0.0690978886756238', '64.0', '0.12284069097888675', '3.0', '0.005758157389635317', '6.0', '0.011516314779270634', '', '', '', '']
  R363: ['', '울산과학대학교', '256.0', '124.0', '0.484375', '53.0', '0.20703125', '16.0', '0.0625', '5.0', '0.01953125', '28.0', '0.109375', '25.0', '0.09765625', '3.0', '0.01171875', '2.0', '0.0078125', '', '', '', '']
  R364: ['', '춘해보건대학교', '130.0', '73.0', '0.5615384615384615', '16.0', '0.12307692307692308', '10.0', '0.07692307692307693', '4.0', '0.03076923076923077', '12.0', '0.09230769230769231', '15.0', '0.11538461538461538', '', '', '', '', '', '', '', '']
  R365: ['', '울산과학기술원', '93.0', '42.0', '0.4516129032258064', '19.0', '0.2043010752688172', '11.0', '0.11827956989247312', '5.0', '0.05376344086021505', '15.0', '0.16129032258064516', '', '', '', '', '1.0', '0.010752688172043012', '', '', '', '']
  R366: ['학년', '1학년', '233.0', '102.0', '0.43776824034334766', '40.0', '0.17167381974248927', '32.0', '0.13733905579399142', '11.0', '0.04721030042918455', '26.0', '0.11158798283261802', '19.0', '0.08154506437768241', '2.0', '0.008583690987124463', '1.0', '0.004291845493562232', '', '', '', '']
  R367: ['', '2학년', '320.0', '157.0', '0.490625', '64.0', '0.2', '29.0', '0.090625', '8.0', '0.025', '27.0', '0.084375', '30.0', '0.09375', '1.0', '0.003125', '4.0', '0.0125', '', '', '', '']
  R368: ['', '3학년', '292.0', '158.0', '0.541095890410959', '38.0', '0.13013698630136986', '25.0', '0.08561643835616438', '8.0', '0.0273972602739726', '27.0', '0.09246575342465753', '31.0', '0.10616438356164384', '3.0', '0.010273972602739725', '2.0', '0.00684931506849315', '', '', '', '']
  R369: ['', '4학년 이상', '155.0', '84.0', '0.5419354838709678', '19.0', '0.12258064516129032', '11.0', '0.07096774193548387', '4.0', '0.025806451612903226', '11.0', '0.07096774193548387', '24.0', '0.15483870967741936', '', '', '2.0', '0.012903225806451613', '', '', '', '']
  R370: ['전공', '인문사회계열', '192.0', '99.0', '0.515625', '26.0', '0.13541666666666666', '18.0', '0.09375', '7.0', '0.036458333333333336', '20.0', '0.10416666666666669', '18.0', '0.09375', '1.0', '0.005208333333333332', '3.0', '0.015625', '', '', '', '']
  R371: ['', '자연과학계열', '325.0', '163.0', '0.5015384615384615', '58.0', '0.17846153846153848', '39.0', '0.12', '11.0', '0.033846153846153845', '22.0', '0.06769230769230769', '30.0', '0.09230769230769231', '1.0', '0.003076923076923077', '1.0', '0.003076923076923077', '', '', '', '']
  R372: ['', '공학계열', '444.0', '222.0', '0.5', '69.0', '0.1554054054054054', '37.0', '0.08333333333333331', '13.0', '0.02927927927927928', '41.0', '0.09234234234234234', '53.0', '0.11936936936936939', '4.0', '0.009009009009009009', '5.0', '0.011261261261261262', '', '', '', '']
  R373: ['', '예체능계열', '39.0', '17.0', '0.4358974358974359', '8.0', '0.20512820512820512', '3.0', '0.07692307692307693', '', '', '8.0', '0.20512820512820512', '3.0', '0.07692307692307693', '', '', '', '', '', '', '', '']
  R374: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R375: ['울산 지역 청년 정착 지원을 위한 정책(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R376: ['', '', '구 분', '울산 지역 청년 정착 지원을 위한 정책(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R377: ['', '', '', '청년 주택 공급/주거비 지원', '', '교통비 지원', '', '문화/여가 활동 지원', '', '청년 공간/커뮤니티 조성', '', '정착 지원금 제공', '', '생활 인프라 개선', '', '육아/보육 지원', '', '기타', '', '', '', '', '']
  R378: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '']
  R379: ['전 체', '', '1000.0', '670.0', '0.67', '371.0', '0.371', '228.0', '0.228', '119.0', '0.11899999999999998', '321.0', '0.321', '247.0', '0.247', '27.0', '0.027000000000000003', '17.0', '0.017', '', '', '', '']
  R380: ['소속 대학', '울산대학교', '521.0', '332.0', '0.6372360844529751', '174.0', '0.33397312859884837', '136.0', '0.26103646833013433', '80.0', '0.15355086372360843', '156.0', '0.29942418426103645', '142.0', '0.272552783109405', '14.0', '0.026871401151631478', '8.0', '0.015355086372360844', '', '', '', '']
  R381: ['', '울산과학대학교', '256.0', '177.0', '0.69140625', '106.0', '0.4140625', '48.0', '0.1875', '22.0', '0.0859375', '81.0', '0.31640625', '65.0', '0.25390625', '9.0', '0.03515625', '4.0', '0.015625', '', '', '', '']
  R382: ['', '춘해보건대학교', '130.0', '98.0', '0.7538461538461538', '51.0', '0.39230769230769236', '26.0', '0.2', '7.0', '0.05384615384615385', '45.0', '0.34615384615384615', '26.0', '0.2', '3.0', '0.023076923076923078', '4.0', '0.03076923076923077', '', '', '', '']
  R383: ['', '울산과학기술원', '93.0', '63.0', '0.6774193548387096', '40.0', '0.4301075268817204', '18.0', '0.1935483870967742', '10.0', '0.1075268817204301', '39.0', '0.41935483870967744', '14.0', '0.15053763440860216', '1.0', '0.010752688172043012', '1.0', '0.010752688172043012', '', '', '', '']
  R384: ['학년', '1학년', '233.0', '145.0', '0.6223175965665236', '91.0', '0.3905579399141631', '67.0', '0.2875536480686695', '25.0', '0.1072961373390558', '76.0', '0.32618025751072965', '51.0', '0.21888412017167383', '7.0', '0.030042918454935622', '4.0', '0.017167381974248927', '', '', '', '']
  R385: ['', '2학년', '320.0', '206.0', '0.64375', '138.0', '0.43125', '76.0', '0.2375', '46.0', '0.14375', '97.0', '0.303125', '58.0', '0.18125', '11.0', '0.034375', '8.0', '0.025', '', '', '', '']
  R386: ['', '3학년', '292.0', '209.0', '0.7157534246575342', '92.0', '0.3150684931506849', '59.0', '0.20205479452054795', '33.0', '0.11301369863013697', '101.0', '0.3458904109589041', '79.0', '0.2705479452054795', '8.0', '0.0273972602739726', '3.0', '0.010273972602739725', '', '', '', '']
  R387: ['', '4학년 이상', '155.0', '110.0', '0.7096774193548387', '50.0', '0.3225806451612903', '26.0', '0.167741935483871', '15.0', '0.0967741935483871', '47.0', '0.3032258064516129', '59.0', '0.38064516129032255', '1.0', '0.0064516129032258064', '2.0', '0.012903225806451613', '', '', '', '']
  R388: ['전공', '인문사회계열', '192.0', '128.0', '0.6666666666666665', '58.0', '0.3020833333333333', '39.0', '0.203125', '31.0', '0.16145833333333337', '68.0', '0.35416666666666674', '45.0', '0.234375', '10.0', '0.05208333333333334', '5.0', '0.02604166666666667', '', '', '', '']
  R389: ['', '자연과학계열', '325.0', '223.0', '0.6861538461538461', '125.0', '0.3846153846153847', '83.0', '0.2553846153846154', '34.0', '0.10461538461538461', '99.0', '0.3046153846153846', '73.0', '0.2246153846153846', '8.0', '0.024615384615384615', '5.0', '0.015384615384615385', '', '', '', '']
  R390: ['', '공학계열', '444.0', '291.0', '0.6554054054054054', '172.0', '0.38738738738738737', '99.0', '0.22297297297297297', '49.0', '0.11036036036036036', '140.0', '0.3153153153153153', '121.0', '0.2725225225225225', '9.0', '0.02027027027027027', '7.0', '0.015765765765765764', '', '', '', '']
  R391: ['', '예체능계열', '39.0', '28.0', '0.717948717948718', '16.0', '0.41025641025641024', '7.0', '0.1794871794871795', '5.0', '0.1282051282051282', '14.0', '0.358974358974359', '8.0', '0.20512820512820512', '', '', '', '', '', '', '', '']
